Trial,ts1,ts2,Response,Correct
1,500,620,Right,1
2,400,592,Right,1
3,1900,1786,Left,1
4,1100,1628,Right,1
5,1900,2812,Right,1
6,1100,1232,Left,0
7,1100,1034,Right,0
8,400,592,Right,1
9,1900,1786,Right,0
10,1100,572,Left,1
11,700,868,Right,1
12,500,620,Left,0
13,400,448,Right,1
14,700,742,Right,1
15,700,868,Right,1
16,700,658,Right,0
17,1900,2128,Left,0
18,1900,1672,Left,1
19,1100,968,Left,1
20,700,868,Left,0
21,1100,572,Left,1
22,400,424,Right,1
23,1900,2014,Left,0
24,400,352,Right,0
25,500,380,Left,1
26,500,620,Right,1
27,700,658,Left,1
28,400,592,Right,1
29,400,352,Right,0
30,400,592,Right,1
31,400,352,Left,1
32,700,364,Left,1
33,400,424,Left,0
34,700,742,Right,1
35,500,380,Right,0
36,500,470,Left,1
37,700,742,Right,1
38,700,616,Right,0
39,500,530,Left,0
40,500,440,Right,0
1,1900,2812,Right,1
2,500,560,Left,0
3,400,424,Left,0
4,1100,1232,Right,1
5,1100,1166,Right,1
6,500,620,Left,0
7,1900,988,Left,1
8,700,784,Left,0
9,1900,2812,Right,1
10,1900,1444,Right,0
11,1900,2356,Right,1
12,500,440,Left,1
13,1900,1786,Right,0
14,500,440,Left,1
15,700,742,Right,1
16,700,658,Left,1
17,700,784,Right,1
18,500,470,Left,1
19,700,532,Right,0
20,1900,2014,Right,1
21,700,532,Left,1
22,1900,2356,Right,1
23,700,868,Left,0
24,500,260,Left,1
25,1900,988,Right,0
26,500,380,Left,1
27,400,304,Left,1
28,1100,1628,Right,1
29,1100,1034,Left,1
30,700,784,Left,0
31,1100,1628,Right,1
32,400,424,Left,0
33,700,742,Left,0
34,700,616,Left,1
35,400,424,Left,0
36,1900,2812,Right,1
37,1100,1364,Right,1
38,1900,1672,Right,0
39,400,376,Left,1
40,1900,988,Left,1
1,700,784,Right,1
2,500,440,Left,1
3,400,376,Left,1
4,700,784,Right,1
5,400,304,Left,1
6,700,364,Left,1
7,500,620,Left,0
8,1100,836,Right,0
9,1900,1786,Left,1
10,1900,1444,Right,0
11,700,364,Left,1
12,1100,968,Left,1
13,700,742,Right,1
14,500,380,Left,1
15,1100,1232,Left,0
16,1100,1232,Right,1
17,1900,2812,Right,1
18,700,658,Left,1
19,400,376,Left,1
20,700,784,Left,0
21,1100,1034,Right,0
22,700,532,Left,1
23,1100,1628,Right,1
24,400,496,Left,0
25,400,352,Right,0
26,700,532,Left,1
27,700,1036,Right,1
28,500,380,Left,1
29,1100,1034,Right,0
30,1100,572,Left,1
31,1100,1166,Left,0
32,1900,1786,Right,0
33,700,364,Left,1
34,700,658,Left,1
35,700,658,Right,0
36,400,304,Left,1
37,500,260,Left,1
38,400,496,Left,0
39,700,868,Right,1
40,1100,572,Left,1
1,500,530,Left,0
2,700,868,Right,1
3,1100,1232,Left,0
4,500,620,Right,1
5,1900,1672,Left,1
6,1900,1444,Right,0
7,700,868,Left,0
8,700,364,Left,1
9,400,376,Left,1
10,500,740,Right,1
11,1900,988,Left,1
12,1100,1166,Right,1
